"id","repository","sha","message","date","insertions","deletions","files_changed","in_main_branch","merge","dmm_unit_size","dmm_unit_complexity","dmm_unit_interfacing","time_mined","author_id","committer_id"
"56","aisepucrio/stnl-dataminer-api","3e672139051c229e693a25e7ba5dc76c5406a590","Merge branch 'exemplo-docker' into development","2024-09-19 19:35:10+00",37,38,0,True,True,NULL,NULL,NULL,"2025-03-24 14:07:36.313657+00","6","6"
"57","aisepucrio/stnl-dataminer-api","b6bf379249aedcc28508eb1fb54cdf1e2ae1a160","docs: Removendo dados de mineração","2024-09-19 19:36:27+00",0,11105,4,True,False,NULL,NULL,NULL,"2025-03-24 14:07:36.359843+00","6","6"
"58","aisepucrio/stnl-dataminer-api","7b42bedad24c62559a26c817f18a24ebfa57bced","Definindo chaves primárias compostas para os modelos das issues e issuetypes no banco de dados.

JIRA: [CSTONE-319]","2024-10-01 18:30:57+00",13,2,1,True,False,NULL,NULL,NULL,"2025-03-24 14:07:36.809816+00","5","5"
"59","aisepucrio/stnl-dataminer-api","a77d4989aaa3bbfe5f6239557b3ecedf588a82a9","feat: Adicionando função de tartamento do campo ""description"".

JIRA: [CSTONE-319][CSTONE-355]","2024-10-01 18:32:10+00",21,2,1,True,False,"0.8461538461538461","0","0.8461538461538461","2025-03-24 14:07:36.953796+00","5","5"
"60","aisepucrio/stnl-dataminer-api","5b86a527d5eef60705bb185769dde129596323a6","feat: Tratamento dos custom fields.

JIRA: [CSTONE-319][CSTONE-356]","2024-10-01 21:47:36+00",61,16,1,True,False,"0.9310344827586207","0.9310344827586207","0.4482758620689655","2025-03-24 14:07:37.117898+00","5","5"
"61","aisepucrio/stnl-dataminer-api","fcaf4d9b4f29ea15a522a7a6f87a304b2ddb77e7","fix: Consertando algumas coisas no Jira","2024-10-11 16:16:49+00",1,3,2,True,False,NULL,NULL,NULL,"2025-03-24 14:07:37.346988+00","4","4"
"62","aisepucrio/stnl-dataminer-api","4166f92522180ce9f431d33212b2e00dde4e1d42","docs: Atualizando requirements","2024-10-11 16:19:10+00",0,0,1,True,False,NULL,NULL,NULL,"2025-03-24 14:07:37.592898+00","4","4"
"63","aisepucrio/stnl-dataminer-api","11b04a0d1e369f67773ea15d99b24559a91f258f","feat: Adaptação das views para utilizar o celery.

JIRA: [CSTONE-319][CSTONE-357]","2024-10-22 00:22:10+00",22,7,1,True,False,"0","1","0","2025-03-24 14:07:37.687027+00","5","5"
"64","aisepucrio/stnl-dataminer-api","3d668da487448515c880f48ac008bd25a3e993f3","feat: Criação do modelo de Task, das view de consulta e deleção de tasks e adaptação das tasks do Jira para utilizar o modelo de Task.

JIRA: [CSTONE-319][CSTONE-363]","2024-10-22 00:26:26+00",102,16,4,True,False,"0.5084745762711864","0.5084745762711864","0.1864406779661017","2025-03-24 14:07:37.85762+00","5","5"
"65","aisepucrio/stnl-dataminer-api","4a38eb2ad21e2b987d825143da3116bffbc4247d","fix: Consertando algumas coisas","2024-10-24 18:41:20+00",8,1,3,True,False,NULL,NULL,NULL,"2025-03-24 14:07:38.404705+00","4","4"
"66","aisepucrio/stnl-dataminer-api","8edc5d79d3d6f027e67a383cc95e615d2d61dfdb","fix: Consertando mais algumas coisas","2024-10-24 19:15:15+00",66,5,3,True,False,NULL,NULL,NULL,"2025-03-24 14:07:38.540848+00","4","4"
